"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J7,J6,J3,J4";"PinHeader_1x03_P2.54mm_Vertical";4;"Conn_01x03 Macho";;;
2;"J9";"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal";1;"Screw_Terminal_01x02";;;
3;"SW1,SW3,SW2,SW4";"SW_PUSH_6mm_H8mm";4;"SW_Push";;;
4;"H3,H4,H1,H2";"MountingHole_3.2mm_M3";4;"MountingHole";;;
5;"D3";"LED_D3.0mm";1;"LED";;;
6;"R14";"R_Axial_DIN0614_L14.3mm_D5.7mm_P25.40mm_Horizontal";1;"56 1W";;;
7;"Q2";"TO-92_Wide";1;"BC337";;;
8;"C3,C1,C4,C2";"C_Disc_D7.5mm_W5.0mm_P7.50mm";4;"100nF poliester ";;;
9;"R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"9K1 5%";;;
10;"R5,R7,R9,R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";4;"10k 5%";;;
11;"SW5";"SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm";1;"SW_SPST";;;
12;"C5";"C_Disc_D7.5mm_W5.0mm_P7.50mm";1;"100nF poliester";;;
13;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"3K3 5%";;;
14;"J11";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04 Macho";;;
15;"J10";"BarrelJack_Horizontal";1;"Barrel_Jack 9V";;;
16;"F1";"Fuse_Bourns_MF-RHT050";1;"MF-RX050/72";;;
17;"Q1";"TO-126-3_Vertical";1;"BD139";;;
18;"R15";"R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal";1;"2R2 1/2 W";;;
19;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"5K6 5%";;;
20;"J2,J1";"PinSocket_1x16_P2.54mm_Vertical";2;"Conn_01x16 Hembra";;;
21;"R13,R12,R8,R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";4;"10K 5%";;;
22;"D2";"D_DO-41_SOD81_P12.70mm_Horizontal";1;"Vz = 7V5  1W";;;
23;"C6";"CP_Radial_D7.5mm_P2.50mm";1;"100uF x 16V";;;
24;"J5";"PinSocket_1x05_P2.54mm_Vertical";1;"Conn_01x05 Hembra";;;
25;"RV1";"Potentiometer_Bourns_3266Y_Vertical";1;"10k 5 Vueltas";;;
26;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"4K7 5%";;;
27;"R16";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"330";;;
28;"A1";"Arduino_Nano";1;"Arduino_Nano_v3.x";;;
29;"J8";"PinSocket_1x04_P2.54mm_Vertical";1;"Conn_01x04 Hembra";;;
30;"D1";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N5817";;;
31;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1K 5%";;;
