Ref,Val,Package,PosX,PosY,Rot,Side
"A1","Arduino_Nano_v3.x","Arduino_Nano",39.480000,65.000000,-90.000000,top
"C1","100nF poliester ","C_Disc_D7.5mm_W5.0mm_P7.50mm",88.750000,12.000000,180.000000,top
"C2","100nF poliester ","C_Disc_D7.5mm_W5.0mm_P7.50mm",74.750000,55.000000,180.000000,top
"C3","100nF poliester ","C_Disc_D7.5mm_W5.0mm_P7.50mm",53.000000,13.750000,-90.000000,top
"C4","100nF poliester ","C_Disc_D7.5mm_W5.0mm_P7.50mm",67.000000,13.500000,-90.000000,top
"C5","100nF poliester","C_Disc_D7.5mm_W5.0mm_P7.50mm",87.750000,75.000000,180.000000,top
"C6","100uF x 16V","CP_Radial_D7.5mm_P2.50mm",84.000000,87.000000,180.000000,top
"D1","1N5817","D_DO-41_SOD81_P10.16mm_Horizontal",53.000000,96.000000,180.000000,top
"D2","Vz = 7V5  1W","D_DO-41_SOD81_P12.70mm_Horizontal",67.000000,93.350000,-90.000000,top
"D3","LED","LED_D3.0mm",92.500000,80.500000,-90.000000,top
"F1","MF-RX050/72","Fuse_Bourns_MF-RHT050",56.950000,96.600000,0.000000,top
"H1","MountingHole","MountingHole_3.2mm_M3",8.000000,30.000000,0.000000,top
"H2","MountingHole","MountingHole_3.2mm_M3",93.000000,6.000000,0.000000,top
"H3","MountingHole","MountingHole_3.2mm_M3",6.000000,81.000000,0.000000,top
"H4","MountingHole","MountingHole_3.2mm_M3",87.500000,94.500000,0.000000,top
"J1","Conn_01x16 Hembra","PinSocket_1x16_P2.54mm_Vertical",52.680000,64.000000,90.000000,top
"J2","Conn_01x16 Hembra","PinSocket_1x16_P2.54mm_Vertical",52.680000,24.000000,90.000000,top
"J3","Conn_01x03 Macho","PinHeader_1x03_P2.54mm_Vertical",84.000000,37.000000,0.000000,top
"J4","Conn_01x03 Macho","PinHeader_1x03_P2.54mm_Vertical",89.000000,37.000000,0.000000,top
"J5","Conn_01x05 Hembra","PinSocket_1x05_P2.54mm_Vertical",37.450000,13.500000,90.000000,top
"J6","Conn_01x03 Macho","PinHeader_1x03_P2.54mm_Vertical",76.500000,37.000000,0.000000,top
"J7","Conn_01x03 Macho","PinHeader_1x03_P2.54mm_Vertical",67.000000,37.000000,0.000000,top
"J8","Conn_01x04 Hembra","PinSocket_1x04_P2.54mm_Vertical",37.460000,22.000000,90.000000,top
"J9","Screw_Terminal_01x02","TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",25.000000,93.000000,180.000000,top
"J10","Barrel_Jack 9V","BarrelJack_Horizontal",14.000000,92.000000,0.000000,top
"J11","Conn_01x04 Macho","PinHeader_1x04_P2.54mm_Vertical",94.250000,87.750000,180.000000,top
"Q1","BD139","TO-126-3_Vertical",72.960000,93.500000,0.000000,top
"Q2","BC337","TO-92_Wide",71.460000,86.750000,0.000000,top
"R1","1K 5%","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",10.250000,22.830000,-90.000000,top
"R2","4K7 5%","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",3.750000,12.920000,90.000000,top
"R3","3K3 5%","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",15.750000,22.830000,-90.000000,top
"R4","5K6 5%","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",22.250000,22.830000,-90.000000,top
"R5","10k 5%","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",80.920000,18.000000,0.000000,top
"R6","9K1 5%","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",27.500000,22.830000,-90.000000,top
"R7","10k 5%","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",91.000000,55.000000,180.000000,top
"R8","10K 5%","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",58.000000,16.160000,-90.000000,top
"R9","10k 5%","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",62.000000,6.000000,90.000000,top
"R10","10K 5%","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",77.000000,16.160000,-90.000000,top
"R11","10k 5%","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",72.000000,6.000000,90.000000,top
"R12","10K 5%","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",72.000000,46.500000,-90.000000,top
"R13","10K 5%","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",62.000000,46.500000,-90.000000,top
"R14","56 1W","R_Axial_DIN0614_L14.3mm_D5.7mm_P25.40mm_Horizontal",61.750000,90.000000,180.000000,top
"R15","2R2 1/2 W","R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal",72.380000,80.000000,0.000000,top
"R16","330","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",87.920000,84.000000,0.000000,top
"RV1","10k 5 Vueltas","Potentiometer_Bourns_3266Y_Vertical",86.525000,5.075000,0.000000,top
"SW1","SW_Push","SW_PUSH_6mm_H8mm",10.250000,3.750000,180.000000,top
"SW2","SW_Push","SW_PUSH_6mm_H8mm",22.250000,3.750000,180.000000,top
"SW3","SW_Push","SW_PUSH_6mm_H8mm",34.250000,3.750000,180.000000,top
"SW4","SW_Push","SW_PUSH_6mm_H8mm",46.250000,3.750000,180.000000,top
"SW5","SW_SPST","SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm",31.000000,96.000000,0.000000,top
