"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C3, C4","4","100nF poliester ","Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P7.50mm",""
"2","D1","1","LED0","LED_THT:LED_D5.0mm",""
"3","D2","1","LED1","LED_THT:LED_D5.0mm",""
"4","D3","1","LED2","LED_THT:LED_D5.0mm",""
"5","D4","1","LED3","LED_THT:LED_D5.0mm",""
"6","D5","1","LED4","LED_THT:LED_D5.0mm",""
"7","D6","1","LED5","LED_THT:LED_D5.0mm",""
"8","D7","1","LED6","LED_THT:LED_D5.0mm",""
"9","D8","1","LED7","LED_THT:LED_D5.0mm",""
"10","D9","1","LED_RKGB","LED_THT:LED_D5.0mm-4_RGB_Wide_Pins",""
"11","J1, J2","2","Conn_01x16 Hembra","Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical",""
"12","J3, J4","2","Conn_01x16 Hembra","Connector_PinSocket_2.54mm:PinSocket_1x16_P2.54mm_Vertical",""
"13","J5, J6, J7","3","Conn_01x03 Macho","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"14","R1, R3, R5, R7","4","10K 5%","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"15","R2, R4, R6, R8","4","10k 5%","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"16","R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19","11","220","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"17","SW5, SW6, SW7, SW8","4","SW_Push","Button_Switch_THT:SW_PUSH_6mm_H8mm",""
"18","SW9","1","SW_DIP_x04","Button_Switch_THT:SW_DIP_SPSTx04_Slide_9.78x12.34mm_W7.62mm_P2.54mm",""
"19","SW10","1","SW_DIP_x02","Button_Switch_THT:SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm",""
